pid,response,RT
478,chimpanzee,19
478,rat,11
478,tiger,28
478,bear,3
478,lion,3
478,gerbil,10
478,ferret,3
478,penguin,9
478,ostrich,4
478,polarbear,7
478,koala,4
478,deer,13
478,reindeer,2
478,goldfish,30
479,cat,2
479,dog,2
479,elephant,3
479,giraffe,2
479,monkey,3
479,gorilla,3
479,ape,1
479,chimpanzee,4
479,penguin,4
479,antelope,3
479,lion,3
479,tiger,3
479,grizzly,4
479,blackbear,4
479,seal,2
479,walrus,3
479,flamingo,6
479,peacock,5
479,squirrel,4
479,chipmunk,5
479,fish,5
479,starfish,3
479,seahorse,2
479,shark,6
479,killerwhale,5
479,clownfish,9
479,dalmation,9
479,sparrow,5
479,eagle,3
479,egret,4
479,bluefootedbooby,7
479,muskrat,9
479,possum,3
479,mole,3
479,raccoon,3
479,goose,2
479,duck,3
479,gulls,2
479,cow,7
479,horse,2
479,pig,2
479,sheep,5
479,ewe,1
479,lamb,3
479,wolf,4
479,leopard,8
480,dog,3
480,cat,1
480,ferret,2
480,lizard,4
480,panda,2
480,koala,3
480,seal,2
480,dolphin,4
480,fish,1
480,shark,1
480,whale,3
480,sealion,2
480,polarbear,4
480,blackbear,4
480,grizzly,4
480,fox,3
480,coyote,2
480,pig,7
480,cow,1
480,horse,3
480,duck,1
480,frog,2
480,snake,2
480,snail,2
480,turtle,2
480,fly,2
480,butterfly,3
480,tiger,9
480,groundhog,15
480,zebra,8
480,kangaroo,3
480,crab,4
480,lobster,4
480,possum,20
480,raccoon,4
480,squirrel,13
480,chipmunk,4
480,rabbit,4
480,jackrabbit,5
480,chinchilla,10
480,bat,6
480,gorilla,8
481,human,4
481,monkey,2
481,bird,2
481,frog,2
481,leopard,4
481,tiger,2
481,giraffe,3
481,elephant,3
481,gorilla,2
481,snake,2
481,fly,3
481,anteater,14
481,dog,11
481,cat,1
481,hamster,5
481,rat,3
481,mouse,2
481,turtle,4
481,guineapig,5
481,kangaroo,9
481,koala,2
481,chipmunk,4
481,squirrel,8
481,crocodile,12
481,alligator,1
481,liger,5
481,flamingo,15
481,seal,9
481,whale,2
481,goldfish,3
481,betta,6
481,clownfish,5
481,polarbear,7
481,brownbear,3
481,blackbear,6
481,panda,9
482,monkey,4
482,turtle,5
482,fish,2
482,dog,2
482,cat,1
482,pig,2
482,horse,2
482,cow,4
482,bull,1
482,chicken,5
482,turkey,3
482,hen,1
482,rooster,5
482,whale,7
482,shark,3
482,rabbit,18
482,lizard,29
482,snake,2
482,chick,5
482,mouse,4
482,rat,3
482,bear,42
482,gorilla,7
482,zebra,6
482,giraffe,4
482,lion,3
483,labradorretriever,9
483,cat,2
483,lion,3
483,tiger,2
483,elephant,9
483,rhino,5
483,bird,4
483,whale,5
483,fish,6
483,shark,1
483,hippopotamus,5
483,oyster,9
483,dolphin,11
483,horse,5
483,bobcat,9
483,grizzly,9
483,blackbear,4
483,human,4
483,wolverine,11
483,badger,3
483,snake,3
483,mole,8
483,manatee,18
483,goat,17
